,kluster,silhout
0,2,0.0362059733295684
1,3,0.06557670327832993
2,4,0.053232236062246495
3,5,0.045237943277996163
4,6,0.03535845051162847
5,7,0.054673160286432425
6,8,0.035057962175711645
