,kolom,score
0,pinjam,0.49042986425339363
1,gabung,0.43658371040723976
2,hati,0.4954524886877828
3,putus,0.4916063348416289
4,selenggara,0.48273755656108597
5,pasang,0.49042986425339363
6,paris,0.49042986425339363
7,sambung,0.35709653092006033
8,dagang,0.49042986425339363
9,regional,0.49042986425339363
10,ojek,0.4865837104072398
11,perkara,0.49042986425339363
12,kunci,0.49042986425339363
13,mati,0.49042986425339363
14,pandu,0.49042986425339363
15,pindah,0.49042986425339363
16,pasuk,0.49042986425339363
17,titik,0.49042986425339363
18,warna,0.5270965309200604
19,penasaran,0.49042986425339363
20,blue,0.547288838612368
21,tampil,0.4404298642533936
22,kantor,0.4725867269984917
23,revolver,0.49042986425339363
24,piala,0.49042986425339363
25,moga,0.49042986425339363
26,apresiasi,0.4954524886877828
27,peduli,0.4892533936651583
28,borok,0.39042986425339365
29,catat,0.4779298642533936
30,dokumen,0.4404298642533936
31,forum,0.49042986425339363
32,karyawan,0.5070965309200604
33,milik,0.44596530920060323
34,laju,0.49042986425339363
35,jujur,0.49042986425339363
36,wahyu,0.43305806938159874
37,total,0.4404298642533936
38,unit,0.4916063348416289
39,sosialisasi,0.4570965309200603
40,saran,0.48273755656108597
41,parkir,0.4404298642533936
42,seluler,0.49042986425339363
43,suara,0.49042986425339363
44,musim,0.49929864253393663
45,wahana,0.4570965309200603
46,tengkar,0.4954524886877828
47,gedung,0.4954524886877828
48,berani,0.49929864253393663
49,wartawan,0.39042986425339365
50,pecah,0.49042986425339363
51,jaksa,0.4834879336349925
52,ubah,0.49042986425339363
53,teman,0.4588914027149321
54,songkok,0.49042986425339363
55,jamal,0.47042986425339367
56,kamera,0.49042986425339363
57,sumber,0.49042986425339363
58,pintu,0.4942760180995475
59,jatuh,0.39042986425339365
60,tantang,0.5117986425339367
61,geger,0.49042986425339363
62,peleset,0.49042986425339363
63,pitam,0.4954524886877828
64,sorot,0.4570965309200603
65,kalang,0.4404298642533936
66,spanduk,0.49042986425339363
67,endang,0.49042986425339363
68,amin,0.49042986425339363
69,alias,0.5031447963800905
70,tulis,0.4404298642533936
71,bahasa,0.49042986425339363
72,mohon,0.49042986425339363
73,bonceng,0.49042986425339363
74,tunggu,0.49042986425339363
75,salon,0.4954524886877828
76,ormas,0.49042986425339363
77,cantum,0.49042986425339363
78,keluarga,0.3339140271493212
79,manja,0.49042986425339363
80,penjara,0.4954524886877828
81,hakim,0.49042986425339363
82,jenis,0.47042986425339367
83,beban,0.49042986425339363
84,bebas,0.49042986425339363
85,lapor,0.38273755656108593
86,wijaya,0.49042986425339363
87,integrasi,0.49042986425339363
88,bantu,0.4954524886877828
89,ketat,0.4779298642533936
90,allah,0.49042986425339363
91,kirim,0.42160633484162896
92,menteri,0.4906447963800905
93,mayat,0.48893665158371036
94,tanggulang,0.49042986425339363
95,paksa,0.49042986425339363
96,budaya,0.39042986425339365
97,sampah,0.49042986425339363
98,depresi,0.5229298642533936
99,korupsi,0.4916063348416289
100,foto,0.49042986425339363
101,jebak,0.49042986425339363
102,anggota,0.4532503770739065
103,bhayangkara,0.49042986425339363
104,unggah,0.39042986425339365
105,duga,0.518103318250377
106,generasi,0.4532503770739065
107,daya,0.4404298642533936
108,pergi,0.4954524886877828
109,suhad,0.49042986425339363
110,sakit,0.49042986425339363
111,dangkal,0.49042986425339363
112,desak,0.49042986425339363
113,bacok,0.5070965309200604
114,persen,0.453763197586727
115,gerak,0.49042986425339363
116,target,0.4865837104072398
117,pasu,0.4404298642533936
118,wenang,0.4916063348416289
119,galang,0.49042986425339363
120,tawar,0.4404298642533936
121,meteorologi,0.49042986425339363
122,masyarakat,0.44822775263951725
123,kaya,0.49042986425339363
124,operasi,0.4519683257918552
125,lumpur,0.49042986425339363
126,kayu,0.49042986425339363
127,maju,0.49042986425339363
128,yani,0.49042986425339363
129,datar,0.49042986425339363
130,larang,0.39042986425339365
131,pria,0.5309426847662142
132,dukun,0.4942760180995475
133,pupuk,0.49042986425339363
134,suami,0.39042986425339365
135,amuk,0.49042986425339363
136,lubang,0.49929864253393663
137,badan,0.4944683257918552
138,humas,0.4570965309200603
139,kaku,0.49042986425339363
140,gorek,0.49042986425339363
141,dasar,0.473763197586727
142,solusi,0.49042986425339363
143,kencang,0.49042986425339363
144,agung,0.4570965309200603
145,wisata,0.49042986425339363
146,fokus,0.49042986425339363
147,fungsi,0.49042986425339363
148,santun,0.49042986425339363
149,habis,0.49042986425339363
150,padi,0.49042986425339363
151,ambruk,0.49042986425339363
152,padu,0.49042986425339363
153,respons,0.49042986425339363
154,permata,0.5106221719457014
155,blek,0.4865837104072398
156,awas,0.49042986425339363
157,atur,0.47023755656108596
158,awat,0.49042986425339363
159,timur,0.49042986425339363
160,tindak,0.49042986425339363
161,awak,0.4570965309200603
162,alun,0.49042986425339363
163,cerita,0.4892533936651583
164,gelar,0.48273755656108597
165,hasil,0.4404298642533936
166,cewek,0.49042986425339363
167,puluh,0.43658371040723976
168,bikin,0.5159653092006034
169,perintah,0.4204298642533937
170,ayah,0.49812217194570135
171,jabat,0.4892533936651583
172,putr,0.49042986425339363
173,singgung,0.49042986425339363
174,ayat,0.49042986425339363
175,semprot,0.49042986425339363
176,senang,0.47042986425339367
177,kritisi,0.49042986425339363
178,pangan,0.49042986425339363
179,sembarang,0.49042986425339363
180,kota,0.423763197586727
181,tani,0.49042986425339363
182,serap,0.49042986425339363
183,serah,0.49042986425339363
184,insentif,0.49812217194570135
185,tunai,0.5106221719457014
186,inisiatif,0.49042986425339363
187,setir,0.4954524886877828
188,arsip,0.4404298642533936
189,jagung,0.4916063348416289
190,cetak,0.49042986425339363
191,kualitas,0.49042986425339363
