,kluster,silhout
0,2,0.3763326727247203
1,3,0.2801227335710283
2,4,0.3187747985062513
3,5,0.3303439763861347
4,6,0.3430888664164386
5,7,0.3641693007389428
6,8,0.3957590612424253
