,PCA1,PCA2,PCA3,PCA4
0,-2.0360715659149644,-1.808759238407195,-0.4116106191799064,0.8228248314513389
1,-0.13673064380881828,2.374659472937653,3.5481908998027576,1.231072106980481
2,-0.34253320705289414,-0.5978199871373319,-2.4409369003801076,-1.2942013846756975
3,-1.0208201666260828,-1.8027566790898175,-2.833447675707561,2.735495749731021
4,-1.2762793036363829,-0.6628710868920725,-1.7045083309165099,1.5289296747941115
5,-1.2142255151760653,-2.624393744867721,-2.2506235911424284,2.6878698862311885
6,-1.2751739130633968,-1.811754494018992,-2.528907810152722,0.7555886024881567
7,-1.6628033045999457,1.4610871921137674,-1.145180590283189,0.03185388456457634
8,-1.0279990698526558,11.386723233083291,6.085764772225974,0.4109367193338703
9,-3.580902189870489,-1.2943298994739136,-2.108670106690407,5.566360726184153
10,0.09965866855971542,3.51784631671597,2.7527874775915886,2.345576367523198
11,-0.8689607875686824,2.109656541798224,-1.8935228355884028,-2.8653896851020417
12,0.26594208584668017,4.265807240750006,0.06505058503192213,-2.1342993571844007
13,-2.6337501429108805,-1.9763524260946062,2.458336919269137,-0.09178508600193577
14,-2.483272830455857,-1.8282422504192717,1.692008897781055,-0.2663394165385333
15,-3.51426537477076,-1.8007497516073034,-2.2204464437165323,5.344125389861411
16,22.48000979588604,-1.4726229451393755,6.040751083265462,2.9424099287366072
17,10.075921753683412,0.06583349570067284,-0.5498401124836129,-4.884743606854257
18,-1.510665266445337,-1.8865853528664644,-2.141556369148673,1.776513313968256
19,-0.998490841557195,-0.5464306989856187,-3.32287300100028,-1.6739940459206717
20,1.1766654606937526,1.8805816940592273,-1.9424936294757846,-3.2860398041556884
21,-1.4813342838614183,3.72421042718654,-2.4259129459212394,-5.331513371331994
22,-0.4196273162427863,4.281671537456331,-1.4979126695542173,-3.978583763207929
23,-1.965588162797326,-1.4590078170855088,-1.547462305323945,4.690192690192468
24,0.7271959747276122,-1.9631425981092967,-0.9897375620907151,2.427457120520962
25,-1.1997315151830839,0.2895554576229589,-2.834545667945579,-1.7085375512765393
26,-2.0452510944350712,1.0609054397793716,-5.4049757455435,9.754730547054017
27,-1.5794192441421728,2.2273869730732714,-1.8530329349989003,-3.892787511379195
28,-1.610945194780648,0.963743000450048,-2.697354052492796,-2.77677762425181
29,-1.5554260623588396,2.9030287943324224,-2.5804860971010255,-4.236127984462157
30,-1.1058437667515126,1.0922149512631545,-2.155224767774249,-2.3695426512729654
31,2.441385618728885,5.702047016331897,-0.24487978581838887,-3.4510728697375996
32,-1.601303029472832,-1.5557942314821807,-1.8598116107344882,1.2803450114543675
33,-0.7215151710033446,-0.9342078504255754,-1.7259341447815084,1.0720379621411642
34,-0.12997310469154333,-2.3297487439551574,-1.8148090448652325,1.5432884483649687
35,-0.41722401531379655,2.544523458516537,-2.1045134782610995,-3.528823826442938
36,3.573900143373817,6.258317421438768,2.9991956080561226,-0.375960096398088
37,-1.9232084139074042,-2.305799589326739,-1.0979576310520216,1.8622335167911472
38,11.886492145962464,-4.661145148683825,1.0594772446442817,1.625579528541201
39,3.71840279183997,10.187270166599221,6.090680735462668,0.7364039703129684
40,12.633199898593332,-4.715700432827733,1.2137700566784817,1.8706717902399144
41,-1.2249420338615764,-1.42794031674663,-1.4015231235172585,2.18798713260075
42,2.0433188181417465,9.540984853710741,4.849893655157947,0.6525354584727528
43,-0.8510850614292413,-1.914473397397472,-2.4662987351608225,0.6824753583965733
